,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__selection_method,param_selector__n_features_to_select,param_selector__model_name,param_selector__k,param_scaler__scaler_name,param_outlier_remover__z_columns,param_outlier_remover__threshold,param_outlier_remover__sev_outliers_cols,param_outlier_remover__outlier_method,param_outlier_remover__n_neighbors,param_outlier_remover__model_columns,param_outlier_remover__mod_outliers_cols,param_outlier_remover__contamination_LOF,param_outlier_remover__contamination_IF,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__min_impurity_decrease,param_model__max_samples,param_model__max_features,param_model__max_depth,param_model__criterion,param_model,param_imputer__knn_scaling_method,param_imputer__knn_neighbors,param_imputer__imputation_method,param_encoder__method,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0,2000,0.6095540046691894,0.026974138185872253,0.07287082672119141,0.004445968609713481,kbest,14,rf,14,minmax,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",Isolation_Forest,70,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['car_age', 'mileage', 'tax', 'mpg']",0.5,0.3,610,17,31,0.3,0.5,sqrt,30,friedman_mse,RandomForestRegressor(n_jobs=-1),robust,11,knn_brandwise,onehot,,"{'selector__selection_method': 'kbest', 'selector__n_features_to_select': 14, 'selector__model_name': 'rf', 'selector__k': 14, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 70, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.5, 'outlier_remover__contamination_IF': 0.3, 'model__n_estimators': 610, 'model__min_samples_split': 17, 'model__min_samples_leaf': 31, 'model__min_impurity_decrease': 0.3, 'model__max_samples': 0.5, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__criterion': 'friedman_mse', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 11, 'imputer__imputation_method': 'knn_brandwise', 'encoder__method': 'onehot'}",-3877.22038298037,-4155.507111834845,-4245.352630791208,-4057.847230866593,-3783.175011465992,-4023.8204735878016,171.45116656636586,162,-4277.061597928014,-4115.761848665744,-3968.824180035791,-4162.291901534129,-4081.789425814587,-4121.145790795652,100.7794867465581
1,0,2000,0.8518230438232421,0.05393985723406642,0.04575705528259277,0.0037042171378745795,model,19,rf,11,minmax,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage', 'engineSize']",LOF,70,"['car_age', 'mileage', 'tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.05,0.3,410,137,51,0.5,0.8,0.5,50,poisson,RandomForestRegressor(n_jobs=-1),minmax,18,iterative,onehot,,"{'selector__selection_method': 'model', 'selector__n_features_to_select': 19, 'selector__model_name': 'rf', 'selector__k': 11, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 70, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.3, 'model__n_estimators': 410, 'model__min_samples_split': 137, 'model__min_samples_leaf': 51, 'model__min_impurity_decrease': 0.5, 'model__max_samples': 0.8, 'model__max_features': 0.5, 'model__max_depth': 50, 'model__criterion': 'poisson', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 18, 'imputer__imputation_method': 'iterative', 'encoder__method': 'onehot'}",-3296.1167651663955,-3552.466391177283,-3606.57336355172,-3278.332051238966,-3210.8804167054273,-3388.873797567958,159.16068992413034,116,-3585.1605979116543,-3409.3161998253468,-3341.636800949594,-3473.5535587081954,-3377.463896157629,-3437.426210710484,85.66434186508505
2,0,2000,6.50931396484375,3.531369524185316,0.053361368179321286,0.009089876729812315,rfe,10,rf,17,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,90,"['car_age', 'mileage', 'tax', 'mpg']","['tax', 'mpg']",0.5,0.3,240,47,16,0.3,0.8,log2,10,friedman_mse,RandomForestRegressor(n_jobs=-1),robust,20,knn_brandwise,onehot,,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 10, 'selector__model_name': 'rf', 'selector__k': 17, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 90, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.5, 'outlier_remover__contamination_IF': 0.3, 'model__n_estimators': 240, 'model__min_samples_split': 47, 'model__min_samples_leaf': 16, 'model__min_impurity_decrease': 0.3, 'model__max_samples': 0.8, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__criterion': 'friedman_mse', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 20, 'imputer__imputation_method': 'knn_brandwise', 'encoder__method': 'onehot'}",-3376.044683735972,-3442.583021906103,-3468.4764113323695,-3302.9684164160753,-3168.147146783829,-3351.6439360348695,108.21785341357472,111,-3564.477897407145,-3253.723478480279,-3186.5084109459212,-3471.495163631528,-3347.915690734985,-3364.8241282399713,138.3228701293776
3,0,2000,10.597590589523316,1.3375089439793375,0.08855242729187011,0.009142997610970687,model,18,rf,23,minmax,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,70,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.05,0.15,640,2,6,0.1,,1.0,50,absolute_error,RandomForestRegressor(n_jobs=-1),minmax,11,knn_brandwise,onehot,,"{'selector__selection_method': 'model', 'selector__n_features_to_select': 18, 'selector__model_name': 'rf', 'selector__k': 23, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 70, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.15, 'model__n_estimators': 640, 'model__min_samples_split': 2, 'model__min_samples_leaf': 6, 'model__min_impurity_decrease': 0.1, 'model__max_samples': None, 'model__max_features': 1.0, 'model__max_depth': 50, 'model__criterion': 'absolute_error', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 11, 'imputer__imputation_method': 'knn_brandwise', 'encoder__method': 'onehot'}",-2560.255318359375,-2715.2520429687493,-2697.6800410156247,-2678.5008713189222,-2705.1535792606514,-2671.3683705846643,56.84453178557324,42,-2292.389814434803,-2102.8247781816763,-2164.070262664165,-2380.5919809570314,-2164.130259765625,-2220.8014192006603,101.00143980995345
4,0,2000,1.505129623413086,0.12084320309773469,0.049280548095703126,0.012088857747079244,model,24,rf,12,minmax,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,30,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.5,0.3,500,32,31,0.2,0.5,sqrt,30,squared_error,RandomForestRegressor(n_jobs=-1),standard,13,iterative,onehot,,"{'selector__selection_method': 'model', 'selector__n_features_to_select': 24, 'selector__model_name': 'rf', 'selector__k': 12, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 30, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.5, 'outlier_remover__contamination_IF': 0.3, 'model__n_estimators': 500, 'model__min_samples_split': 32, 'model__min_samples_leaf': 31, 'model__min_impurity_decrease': 0.2, 'model__max_samples': 0.5, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__criterion': 'squared_error', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 13, 'imputer__imputation_method': 'iterative', 'encoder__method': 'onehot'}",-3777.1053221036063,-3999.8372487860206,-4137.143226510862,-3893.620749361051,-3692.7074632838235,-3900.082802009073,157.6821767458077,156,-4192.251851558149,-3964.6127423009716,-3883.6642708668755,-4008.8600271061064,-3957.3948249702294,-4001.3567433604658,103.56788263244265
5,0,2000,3.9101919174194335,1.12898974532397,0.04802403450012207,0.00173805107031502,rfe,18,rf,23,robust,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage']",LOF,50,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.15,0.5,290,77,31,0.1,0.3,sqrt,10,squared_error,RandomForestRegressor(n_jobs=-1),robust,13,knn,onehot,,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 18, 'selector__model_name': 'rf', 'selector__k': 23, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 50, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.15, 'outlier_remover__contamination_IF': 0.5, 'model__n_estimators': 290, 'model__min_samples_split': 77, 'model__min_samples_leaf': 31, 'model__min_impurity_decrease': 0.1, 'model__max_samples': 0.3, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__criterion': 'squared_error', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 13, 'imputer__imputation_method': 'knn', 'encoder__method': 'onehot'}",-3781.0966060982423,-3983.1349004696403,-4168.991167079612,-3752.6910751312853,-3545.6482071839587,-3846.312391192548,212.72470117262563,153,-4134.204775188032,-3830.081529936278,-3863.4819440942156,-3943.287922055015,-3861.9592040548137,-3926.6030750656705,110.3234933468859
6,0,2000,3.554648208618164,0.28194272745177723,0.03637838363647461,0.0024038045695977,rfe,17,rf,21,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,90,"['car_age', 'mileage', 'tax', 'mpg']","['tax', 'mpg']",0.3,0.05,140,62,31,0.1,0.3,0.5,60,poisson,RandomForestRegressor(n_jobs=-1),minmax,16,knn,onehot,,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 17, 'selector__model_name': 'rf', 'selector__k': 21, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 90, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.3, 'outlier_remover__contamination_IF': 0.05, 'model__n_estimators': 140, 'model__min_samples_split': 62, 'model__min_samples_leaf': 31, 'model__min_impurity_decrease': 0.1, 'model__max_samples': 0.3, 'model__max_features': 0.5, 'model__max_depth': 60, 'model__criterion': 'poisson', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 16, 'imputer__imputation_method': 'knn', 'encoder__method': 'onehot'}",-3372.093084023645,-3596.247242944647,-3675.2279240224634,-3451.255282306683,-3234.0079138827095,-3465.76628943603,157.2238143357368,127,-3666.1175500572963,-3430.321200364611,-3416.1443445411714,-3608.1367455012023,-3475.674940892902,-3519.2789562714365,99.90877835472975
7,0,2000,0.366758394241333,0.01060485978713987,0.06225461959838867,0.005100289313342176,kbest,12,rf,22,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",LOF,100,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['car_age', 'mileage', 'tax', 'mpg']",0.05,0.05,360,77,66,0.1,0.5,0.8,30,poisson,RandomForestRegressor(n_jobs=-1),standard,10,knn,onehot,,"{'selector__selection_method': 'kbest', 'selector__n_features_to_select': 12, 'selector__model_name': 'rf', 'selector__k': 22, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.05, 'model__n_estimators': 360, 'model__min_samples_split': 77, 'model__min_samples_leaf': 66, 'model__min_impurity_decrease': 0.1, 'model__max_samples': 0.5, 'model__max_features': 0.8, 'model__max_depth': 30, 'model__criterion': 'poisson', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 10, 'imputer__imputation_method': 'knn', 'encoder__method': 'onehot'}",-3468.53632311678,-3701.4901863464665,-3787.024206863596,-3683.996294203631,-3421.867386088089,-3612.5828793237124,141.81394256977043,138,-3846.2713131462615,-3650.103827240084,-3576.756883715315,-3776.838257161356,-3608.9898452049924,-3691.792025293602,102.88236254351965
8,0,2000,3.2509361743927,0.6092485775474613,0.0827298641204834,0.015085188101385451,rfe,19,rf,15,robust,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",Isolation_Forest,90,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.15,0.15,680,137,31,0.2,,1.0,20,squared_error,RandomForestRegressor(n_jobs=-1),minmax,13,knn_brandwise,onehot,,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 19, 'selector__model_name': 'rf', 'selector__k': 15, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 90, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.15, 'outlier_remover__contamination_IF': 0.15, 'model__n_estimators': 680, 'model__min_samples_split': 137, 'model__min_samples_leaf': 31, 'model__min_impurity_decrease': 0.2, 'model__max_samples': None, 'model__max_features': 1.0, 'model__max_depth': 20, 'model__criterion': 'squared_error', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 13, 'imputer__imputation_method': 'knn_brandwise', 'encoder__method': 'onehot'}",-3263.89412556598,-3554.9336988427117,-3613.6902964794367,-3427.7871802335167,-3286.419577953641,-3429.3449758150578,139.68522078704703,120,-3676.9795729277594,-3427.348745587777,-3420.5636527392726,-3535.8662152965694,-3385.1423119224455,-3489.180099694765,106.58651881418497
9,0,2000,0.568174934387207,0.032823763857041804,0.03959641456604004,0.007978060187202827,kbest,17,rf,17,standard,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,30,"['car_age', 'mileage', 'tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.15,0.15,290,2,26,0.2,0.3,0.8,40,absolute_error,RandomForestRegressor(n_jobs=-1),robust,10,iterative,onehot,,"{'selector__selection_method': 'kbest', 'selector__n_features_to_select': 17, 'selector__model_name': 'rf', 'selector__k': 17, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 30, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.15, 'outlier_remover__contamination_IF': 0.15, 'model__n_estimators': 290, 'model__min_samples_split': 2, 'model__min_samples_leaf': 26, 'model__min_impurity_decrease': 0.2, 'model__max_samples': 0.3, 'model__max_features': 0.8, 'model__max_depth': 40, 'model__criterion': 'absolute_error', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 10, 'imputer__imputation_method': 'iterative', 'encoder__method': 'onehot'}",-3298.142155172414,-3497.582543103448,-3604.3519310344827,-3460.5608244749806,-3299.6530809783085,-3432.0581069527266,118.53741308148405,121,-3699.1692329257507,-3492.09864786181,-3388.0166375536432,-3596.0598286637933,-3478.460010775862,-3530.760871556172,106.98728326193961
10,0,2000,5.412220239639282,0.18998830901854538,0.01980113983154297,0.0003880670887820851,kbest,19,et,20,minmax,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",LOF,100,"['car_age', 'mileage', 'tax', 'mpg']","['tax', 'mpg']",0.5,0.3,550,32,29,0.0,,0.8,60,absolute_error,ExtraTreesRegressor(),minmax,17,simple,onehot,False,"{'selector__selection_method': 'kbest', 'selector__n_features_to_select': 19, 'selector__model_name': 'et', 'selector__k': 20, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.5, 'outlier_remover__contamination_IF': 0.3, 'model__n_estimators': 550, 'model__min_samples_split': 32, 'model__min_samples_leaf': 29, 'model__min_impurity_decrease': 0.0, 'model__max_samples': None, 'model__max_features': 0.8, 'model__max_depth': 60, 'model__criterion': 'absolute_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor(), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 17, 'imputer__imputation_method': 'simple', 'encoder__method': 'onehot'}",-3507.169909090909,-3748.417254545455,-3836.919622727273,-3686.5524629756205,-3639.8234996582364,-3683.7765497994988,110.23674827286037,141,-3803.396350560009,-3748.51931491273,-3616.409590084712,-3834.6208517045457,-3688.8373051136364,-3738.3566824751265,78.6428507581328
11,0,2000,1.0918059825897217,0.03577627177043752,0.0850374698638916,0.01435609423463052,model,13,rf,20,robust,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage', 'engineSize']",LOF,50,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.05,0.3,760,107,26,0.1,0.8,1.0,10,friedman_mse,RandomForestRegressor(n_jobs=-1),robust,18,simple,onehot,,"{'selector__selection_method': 'model', 'selector__n_features_to_select': 13, 'selector__model_name': 'rf', 'selector__k': 20, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 50, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.3, 'model__n_estimators': 760, 'model__min_samples_split': 107, 'model__min_samples_leaf': 26, 'model__min_impurity_decrease': 0.1, 'model__max_samples': 0.8, 'model__max_features': 1.0, 'model__max_depth': 10, 'model__criterion': 'friedman_mse', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 18, 'imputer__imputation_method': 'simple', 'encoder__method': 'onehot'}",-3317.6938793928052,-3362.8134280593817,-3384.772032468809,-3088.204815718968,-3093.9287996566095,-3249.4825910593145,131.15440844030445,97,-3434.7294870898363,-3178.657542024107,-3095.207160037414,-3392.1734041742334,-3110.1845093856127,-3242.1904205422406,143.27055079666255
12,0,2000,5.913793897628784,0.1454826504016454,0.07700457572937011,0.006467718974284185,rfe,11,rf,21,robust,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",LOF,50,"['car_age', 'mileage', 'tax', 'mpg']","['tax', 'mpg']",0.05,0.5,630,92,41,0.5,0.8,sqrt,10,poisson,RandomForestRegressor(n_jobs=-1),minmax,18,iterative,onehot,,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 11, 'selector__model_name': 'rf', 'selector__k': 21, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 50, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.5, 'model__n_estimators': 630, 'model__min_samples_split': 92, 'model__min_samples_leaf': 41, 'model__min_impurity_decrease': 0.5, 'model__max_samples': 0.8, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__criterion': 'poisson', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 18, 'imputer__imputation_method': 'iterative', 'encoder__method': 'onehot'}",-3273.10600685635,-3501.1951006891704,-3564.345546160927,-3231.9073785253786,-3184.774640274061,-3351.0657345011773,152.28674637419326,110,-3546.1090313078125,-3312.960829430389,-3275.445462438508,-3442.3655099224243,-3374.8748171176867,-3390.3511300433647,96.3307914002233
13,0,2000,0.5627529621124268,0.011067281523821481,0.08482694625854492,0.000732278002575603,kbest,15,rf,13,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",LOF,70,"['car_age', 'mileage', 'tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.15,0.3,590,77,36,0.3,,0.8,20,squared_error,RandomForestRegressor(n_jobs=-1),minmax,10,knn,onehot,,"{'selector__selection_method': 'kbest', 'selector__n_features_to_select': 15, 'selector__model_name': 'rf', 'selector__k': 13, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 70, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.15, 'outlier_remover__contamination_IF': 0.3, 'model__n_estimators': 590, 'model__min_samples_split': 77, 'model__min_samples_leaf': 36, 'model__min_impurity_decrease': 0.3, 'model__max_samples': None, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__criterion': 'squared_error', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 10, 'imputer__imputation_method': 'knn', 'encoder__method': 'onehot'}",-3288.1664048076736,-3323.3291495359526,-3571.1055920469807,-3113.9507976569294,-3048.145155797501,-3268.9394199690078,182.97753704421754,101,-3399.8045068695496,-3149.3669193385463,-3203.8486804352947,-3265.676428413312,-3118.8659300305694,-3227.5124930174543,99.61104995180219
14,0,2000,3.780329370498657,0.3363990009697647,0.06625604629516602,0.009628349603867412,rfe,17,rf,22,robust,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage', 'engineSize']",LOF,100,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.05,0.5,550,137,41,0.3,0.3,1.0,60,squared_error,RandomForestRegressor(n_jobs=-1),robust,14,knn_brandwise,onehot,,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 17, 'selector__model_name': 'rf', 'selector__k': 22, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.5, 'model__n_estimators': 550, 'model__min_samples_split': 137, 'model__min_samples_leaf': 41, 'model__min_impurity_decrease': 0.3, 'model__max_samples': 0.3, 'model__max_features': 1.0, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model': RandomForestRegressor(n_jobs=-1), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 14, 'imputer__imputation_method': 'knn_brandwise', 'encoder__method': 'onehot'}",-3570.607895979147,-3852.1578184896,-4134.707896546371,-3800.9723919560042,-3471.747264172451,-3766.0386534287145,232.10105137500588,147,-3942.1004736646414,-3735.488487327336,-3835.608867646382,-3866.1180375943354,-3687.6163190792427,-3813.3864370623874,91.35422758097901
